Range (M),GTL (mils),sinAZ,Galt (M),Talt (M),AOS (mils),Chg,MV (m/s),Drift,QE (mils),TOF,MAX Ord (M),Moz
2501,800,0.7071,500,250,-101.4813315,1L,288.2,2.7,58.69356396,8.983708769,513.0695897,13.0695897
2501,800,0.7071,500,500,0,1L,288.2,3.6,162.4054907,8.983708769,602.9066774,102.9066774
2501,800,0.7071,500,750,101.4813315,1L,288.2,3.6,266.1174175,8.983708769,769.6043846,269.6043846
2501,1600,1,500,250,-101.4813315,1L,288.2,3,58.8,9,514,14
2501,1600,1,500,500,0,1L,288.2,4,162.7,9,604,104
2501,1600,1,500,750,101.4813315,1L,288.2,4,266.6,9,771,271
2501,4000,-0.7071,500,250,-101.4813315,1L,288.2,2.7,59.04835076,9.038012872,516.1709574,16.17095736
2501,4000,-0.7071,500,500,0,1L,288.2,3.6,163.3871883,9.038012872,606.5510861,106.5510861
2501,4000,-0.7071,500,750,101.4813315,1L,288.2,3.6,267.7260257,9.038012872,774.256436,274.256436
2501,4800,-1,500,250,-101.4813315,1L,288.2,3,60.01153846,9,514.5402674,14.54026744
2501,4800,-1,500,500,0,1L,288.2,4,163.9115385,9,604.7601341,104.7601341
2501,4800,-1,500,750,101.4813315,1L,288.2,4,267.8115385,9,772.9633627,272.9633627
3001,800,0.7071,500,0,-168.1640203,1L,288.2,3.6,25.75329847,10.9800885,502.0895012,2.089501207
3001,800,0.7071,500,500,0,1L,288.2,3.6,199.2386967,10.9800885,653.8143604,153.8143604
3001,800,0.7071,500,1000,168.1640203,1L,288.2,4.5,374.3211987,10.9800885,1013.162711,513.1627112
3001,1600,1,500,0,-168.1640203,1L,288.2,4,25.8,11,503,3
3001,1600,1,500,500,0,1L,288.2,4,199.6,11,655,155
3001,1600,1,500,1000,168.1640203,1L,288.2,5,375,11,1015,515
3001,4000,-0.7071,500,0,-168.1640203,1L,288.2,3.6,25.90897023,11.04646018,505.1244972,5.124497184
3001,4000,-0.7071,500,500,0,1L,288.2,3.6,200.443041,11.04646018,657.7664924,157.7664924
