Charge,MV,Range,Alt,Elev,TOF,Drift,Maxord.z,csf.p,csf.n
M231 1L,288.2,2500,0,163.7,9,4,105,0.025899818,-0.023433713
M231 1L,288.2,3000,0,201,11,5,156,0.041157172,-0.038202137
M231 1L,288.2,3001,500,200.2,11,5,655,0.041157172,-0.038202137
M231 1L,288.2,3001,1000,199.4,11,5,1154,0.041157172,-0.038202137
M231 1L,288.2,3001,1500,198.3,11,4,1653,0.041157172,-0.038202137
M231 1L,288.2,4000,0,282.6,15,7,301,0.089812987,-0.081944301
M231 1L,288.2,4002,500,281,15,7,798,0.089812987,-0.081944301
M231 1L,288.2,4002,1000,279.4,15,6,1296,0.089812987,-0.081944301
M231 1L,288.2,4002,1500,277.8,15,6,1793,0.089812987,-0.081944301
M231 1L,288.2,5000,0,378.9,20,9,522,0.184424231,-0.168042153
M231 1L,288.2,5002,500,375.9,20,9,1015,0.184424231,-0.168042153
M231 1L,288.2,5002,1000,372.8,20,9,1509,0.184424231,-0.168042153
M231 1L,288.2,5002,1500,369.9,20,9,2003,0.184424231,-0.168042153
M231 1L,288.2,6000,0,505.5,26,13,878,0.491534099,-0.387382179
M231 1L,288.2,6002,500,498.9,26,13,1363,0.491534099,-0.387382179
M231 1L,288.2,6002,1000,492.7,26,13,1847,0.491534099,-0.387382179
M231 1L,288.2,6002,1500,487,26,12,2332,0.491534099,-0.387382179
M231 2L,426.3,3000,0,101.7,8,3,83,0.00766678,-0.002741723
M231 2L,426.3,3001,500,100.8,8,3,582,0.00766678,-0.002741723
M231 2L,426.3,3001,1000,99.9,8,3,1081,0.00766678,-0.002741723
M231 2L,426.3,3001,1500,99,8,3,1579,0.00766678,-0.002741723
M231 2L,426.3,4000,0,145.1,11,4,161,0.015060471,-0.009814681
M231 2L,426.3,4002,500,143.8,11,4,660,0.015060471,-0.009814681
M231 2L,426.3,4002,1000,142.2,11,4,1157,0.015060471,-0.009814681
M231 2L,426.3,4002,1500,140.5,11,4,1655,0.015060471,-0.009814681
M231 2L,426.3,5000,0,193.3,14,5,274,0.023879867,-0.020603452
M231 2L,426.3,5002,500,191.3,14,5,770,0.023879867,-0.020603452
M231 2L,426.3,5002,1000,188.9,14,5,1267,0.023879867,-0.020603452
M231 2L,426.3,5002,1500,186.6,14,5,1762,0.023879867,-0.020603452
M231 2L,426.3,6000,0,246.2,18,7,426,0.045449461,-0.033658677
M231 2L,426.3,6000,500,243.4,18,7,921,0.045449461,-0.033658677
M231 2L,426.3,6002,1000,240.4,18,7,1415,0.045449461,-0.033658677
M231 2L,426.3,6002,1500,237.3,17,6,1908,0.045449461,-0.033658677
M231 2L,426.3,7000,0,304.7,22,8,626,0.068140247,-0.058971662
M231 2L,426.3,7003,500,300.9,22,8,1117,0.068140247,-0.058971662
M231 2L,426.3,7003,1000,297,21,8,1608,0.068140247,-0.058971662
M231 2L,426.3,7003,1500,293.1,21,8,2098,0.068140247,-0.058971662
M231 2L,426.3,8000,0,370.1,26,10,884,0.110549536,-0.100072653
M231 2L,426.3,8003,500,365,26,10,1370,0.110549536,-0.100072653
M231 2L,426.3,8003,1000,359.9,26,10,1856,0.110549536,-0.100072653
M231 2L,426.3,8003,1500,354.8,25,10,2342,0.110549536,-0.100072653
M231 2L,426.3,9000,0,446.3,31,13,1226,0.190318783,-0.190318783
M231 2L,426.3,9004,500,438.7,30,13,1702,0.190318783,-0.190318783
