hem,gzoe,gsnl,gsnn,gznl
S,Even,A,15,C
S,Even,B,16,C
S,Even,C,17,C
S,Even,D,18,C
S,Even,E,19,C
S,Even,F,20,C
S,Even,S,11,C
S,Even,T,12,C
S,Even,U,13,C
S,Even,V,14,C
S,Odd,A,20,C
S,Odd,M,11,C
S,Odd,N,12,C
S,Odd,P,13,C
S,Odd,Q,14,C
S,Odd,R,15,C
S,Odd,S,16,C
S,Odd,T,17,C
S,Odd,U,18,C
S,Odd,V,19,C
S,Even,F,20,D
S,Even,G,21,D
S,Even,H,22,D
S,Even,J,23,D
S,Even,K,24,D
S,Even,L,25,D
S,Even,M,26,D
S,Even,N,27,D
S,Even,P,28,D
S,Even,Q,29,D
S,Odd,A,20,D
S,Odd,B,21,D
S,Odd,C,22,D
S,Odd,D,23,D
S,Odd,E,24,D
S,Odd,F,25,D
S,Odd,G,26,D
S,Odd,H,27,D
S,Odd,J,28,D
S,Odd,K,29,D
S,Even,A,35,E
S,Even,B,36,E
S,Even,C,37,E
S,Even,Q,29,E
S,Even,R,30,E
S,Even,S,31,E
S,Even,T,32,E
S,Even,U,33,E
S,Even,V,34,E
S,Odd,K,29,E
S,Odd,L,30,E
S,Odd,M,31,E
S,Odd,N,32,E
S,Odd,P,33,E
S,Odd,Q,34,E
S,Odd,R,35,E
S,Odd,S,36,E
S,Odd,T,37,E
S,Even,C,37,F
S,Even,D,38,F
S,Even,E,39,F
S,Even,F,40,F
S,Even,G,41,F
S,Even,H,42,F
S,Even,J,43,F
S,Even,K,44,F
S,Even,L,45,F
S,Even,M,46,F
S,Odd,A,40,F
S,Odd,B,41,F
S,Odd,C,42,F
S,Odd,D,43,F
S,Odd,E,44,F
S,Odd,F,45,F
S,Odd,G,46,F
S,Odd,T,37,F
S,Odd,U,38,F
S,Odd,V,39,F
S,Even,A,55,G
S,Even,M,46,G
S,Even,N,47,G
S,Even,P,48,G
S,Even,Q,49,G
S,Even,R,50,G
S,Even,S,51,G
S,Even,T,52,G
S,Even,U,53,G
S,Even,V,54,G
S,Odd,G,46,G
S,Odd,H,47,G
S,Odd,J,48,G
S,Odd,K,49,G
S,Odd,L,50,G
S,Odd,M,51,G
S,Odd,N,52,G
S,Odd,P,53,G
S,Odd,Q,54,G
S,Odd,R,55,G
S,Even,A,55,H
S,Even,B,56,H
S,Even,C,57,H
S,Even,D,58,H
S,Even,E,59,H
S,Even,F,60,H
S,Even,G,61,H
S,Even,H,62,H
S,Even,J,63,H
S,Even,K,64,H
S,Odd,A,60,H
S,Odd,B,61,H
S,Odd,C,62,H
S,Odd,D,63,H
S,Odd,E,64,H
S,Odd,R,55,H
S,Odd,S,56,H
S,Odd,T,57,H
S,Odd,U,58,H
S,Odd,V,59,H
S,Even,K,64,J
S,Even,L,65,J
S,Even,M,66,J
S,Even,N,67,J
S,Even,P,68,J
S,Even,Q,69,J
S,Even,R,70,J
S,Even,S,71,J
S,Even,T,72,J
S,Even,U,73,J
S,Odd,E,64,J
S,Odd,F,65,J
S,Odd,G,66,J
S,Odd,H,67,J
S,Odd,J,68,J
S,Odd,K,69,J
S,Odd,L,70,J
S,Odd,M,71,J
S,Odd,N,72,J
S,Odd,P,73,J
S,Even,A,75,K
S,Even,B,76,K
S,Even,C,77,K
S,Even,D,78,K
S,Even,E,79,K
S,Even,F,80,K
S,Even,G,81,K
S,Even,H,82,K
S,Even,U,73,K
S,Even,V,74,K
S,Odd,A,80,K
S,Odd,B,81,K
S,Odd,C,82,K
S,Odd,P,73,K
S,Odd,Q,74,K
S,Odd,R,75,K
S,Odd,S,76,K
S,Odd,T,77,K
S,Odd,U,78,K
S,Odd,V,79,K
S,Even,H,82,L
S,Even,J,83,L
S,Even,K,84,L
S,Even,L,85,L
S,Even,M,86,L
S,Even,N,87,L
S,Even,P,88,L
S,Even,Q,89,L
S,Even,R,90,L
S,Even,S,91,L
S,Odd,C,82,L
S,Odd,D,83,L
S,Odd,E,84,L
S,Odd,F,85,L
S,Odd,G,86,L
S,Odd,H,87,L
S,Odd,J,88,L
S,Odd,K,89,L
S,Odd,L,90,L
S,Odd,M,91,L
S,Even,A,95,M
S,Even,B,96,M
S,Even,C,97,M
S,Even,D,98,M
S,Even,E,99,M
S,Even,S,91,M
S,Even,T,92,M
S,Even,U,93,M
S,Even,V,94,M
S,Odd,M,91,M
S,Odd,N,92,M
S,Odd,P,93,M
S,Odd,Q,94,M
S,Odd,R,95,M
S,Odd,S,96,M
S,Odd,T,97,M
S,Odd,U,98,M
S,Odd,V,99,M
N,Even,F,0,N
N,Even,G,1,N
N,Even,H,2,N
N,Even,J,3,N
N,Even,K,4,N
N,Even,L,5,N
N,Even,M,6,N
N,Even,N,7,N
N,Even,P,8,N
N,Odd,A,0,N
N,Odd,B,1,N
N,Odd,C,2,N
N,Odd,D,3,N
N,Odd,E,4,N
N,Odd,F,5,N
N,Odd,G,6,N
N,Odd,H,7,N
N,Odd,J,8,N
N,Even,A,15,P
N,Even,B,16,P
N,Even,C,17,P
N,Even,P,8,P
N,Even,Q,9,P
N,Even,R,10,P
N,Even,S,11,P
N,Even,T,12,P
N,Even,U,13,P
N,Even,V,14,P
N,Odd,J,8,P
N,Odd,K,9,P
N,Odd,L,10,P
N,Odd,M,11,P
N,Odd,N,12,P
N,Odd,P,13,P
N,Odd,Q,14,P
N,Odd,R,15,P
N,Odd,S,16,P
N,Odd,T,17,P
N,Even,C,17,Q
N,Even,D,18,Q
N,Even,E,19,Q
N,Even,F,20,Q
N,Even,G,21,Q
N,Even,H,22,Q
N,Even,J,23,Q
N,Even,K,24,Q
N,Even,L,25,Q
N,Even,M,26,Q
